name,type,province,综合指标（校友会网）_科学研究,综合指标（校友会网）_人才培养,综合指标（校友会网）_综合声誉,学科排名（武书连）_综合实力,学科排名（武书连）_自然科学,学科排名（武书连）_社会科学,学科排名（武书连）_理学,学科排名（武书连）_工学,学科排名（武书连）_农学,学科排名（武书连）_医学,学科排名（武书连）_哲学,学科排名（武书连）_经济学,学科排名（武书连）_法学,学科排名（武书连）_教育学,学科排名（武书连）_文学,学科排名（武书连）_历史学,学科排名（武书连）_管理学,学科排名（武书连）_艺术学
南京林业大学,林业,江苏,2,3.03,0.24,,,,,,,,,,,,,,,
青海大学,综合,青海,1.94,0.42,7.22,,,,,,,,,,,,,,,
福建农林大学,农林,福建,1.67,3.14,0.29,,,,,,,,,,,,,,,
安徽医科大学,医药,安徽,3.04,1.35,1.41,,,,,,,,,,,,,,,
河北师范大学,师范,河北,1.53,3.24,0.23,,,,,,,,,,,,,,,
天津工业大学,理工,天津,2.97,1.49,0.25,,,,,,,,,,,,,,,
西藏大学,综合,西藏,1.42,0.48,7.12,,,,,,,,,,,,,,,
兰州理工大学,理工,甘肃,3.07,1.39,0.11,,,,,,,,,,,,,,,
河北医科大学,医药,河北,1.4,2.74,1.03,,,,,,,,,,,,,,,
华侨大学,综合,福建,2,1.66,2.18,,,,,,,,,,,,,,,
兰州交通大学,理工,甘肃,2.3,2.11,0.16,,,,,,,,,,,,,,,
长沙理工大学,理工,湖南,2.87,1.46,0.27,,,,,,,,,,,,,,,
江西师范大学,师范,江西,1.93,2.29,0.31,,,,,,,,,,,,,,,
江西农业大学,农林,江西,1.5,1.92,2.4,,,,,,,,,,,,,,,
东北石油大学,理工,黑龙江,1.24,2.15,2.36,,,,,,,,,,,,,,,
宁波大学,综合,浙江,2.99,1.03,0.63,,,,,,,,,,,,,,,
中北大学,理工,山西,2.75,1.41,0.24,,,,,,,,,,,,,,,
河南理工大学,理工,河南,2.15,2.02,0.14,,,,,,,,,,,,,,,
天津中医药大学,医药,天津,2.16,2.01,0.12,,,,,,,,,,,,,,,
云南农业大学,农林,云南,3.02,1.16,0.08,,,,,,,,,,,,,,,
浙江师范大学,师范,浙江,2.31,1.82,0.12,,,,,,,,,,,,,,,
江西财经大学,财经,江西,1.13,2.81,0.58,,,,,,,,,,,,,,,
南京邮电大学,理工,江苏,2.63,1.4,0.32,,,,,,,,,,,,,,,
沈阳药科大学,医药,辽宁,1.03,2.21,2.45,,,,,,,,,,,,,,,
辽宁师范大学,师范,辽宁,1.26,2.82,0.11,,,,,,,,,,,,,,,
西南石油大学,理工,四川,2.21,1.86,0.07,,,,,,,,,,,,,,,
上海理工大学,理工,上海,2,1.97,0.28,,,,,,,,,,,,,,,
浙江理工大学,理工,浙江,3.08,0.82,0.39,,,,,,,,,,,,,,,
温州医学院,医药,浙江,3.37,0.6,0.16,,,,,,,,,,,,,,,
哈尔滨理工大学,理工,黑龙江,1.79,2.21,0.1,,,,,,,,,,,,,,,
河南农业大学,农林,河南,2.21,1.71,0.18,,,,,,,,,,,,,,,
新疆医科大学,医药,新疆,2.57,1.36,0.11,,,,,,,,,,,,,,,
安徽农业大学,农林,安徽,1.79,2.08,0.2,,,,,,,,,,,,,,,
河北农业大学,农林,河北,1.43,2.43,0.08,,,,,,,,,,,,,,,
南京中医药大学,医药,江苏,1.66,2.14,0.18,,,,,,,,,,,,,,,
首都经济贸易大学,财经,北京,0.53,3.22,0.33,,,,,,,,,,,,,,,
长春理工大学,理工,吉林,1.78,2,0.26,,,,,,,,,,,,,,,
广东工业大学,理工,广东,2.04,1.67,0.35,,,,,,,,,,,,,,,
广州大学,综合,广东,2.36,1.09,1.07,,,,,,,,,,,,,,,
成都中医药大学,医药,四川,2.06,1.74,0.04,,,,,,,,,,,,,,,
西南科技大学,理工,四川,2.73,0.57,1.25,,,,,,,,,,,,,,,
广西师范大学,师范,广西,1.79,1.82,0.3,,,,,,,,,,,,,,,
辽宁工程技术大学,理工,辽宁,0.78,1.99,2.37,,,,,,,,,,,,,,,
南京信息工程大学,理工,江苏,1.85,0.87,2.51,,,,,,,,,,,,,,,
天津财经大学,财经,天津,0.61,2.78,0.25,,,,,,,,,,,,,,,
浙江工商大学,财经,浙江,1.93,1.3,0.6,,,,,,,,,,,,,,,
四川师范大学,师范,四川,1.28,2.02,0.42,,,,,,,,,,,,,,,
曲阜师范大学,师范,山东,0.78,2.16,1.43,,,,,,,,,,,,,,,
徐州师范大学,师范,江苏,1.57,1.36,1.32,,,,,,,,,,,,,,,
哈尔滨师范大学,师范,黑龙江,0.99,2.25,0.11,,,,,,,,,,,,,,,
华东政法大学,政法,上海,0.7,2.38,0.45,,,,,,,,,,,,,,,
广州医学院,医药,广东,2.3,0.8,0.35,,,,,,,,,,,,,,,
广西医科大学,医药,广西,1.99,1.2,0.1,,,,,,,,,,,,,,,
杭州师范大学,师范,浙江,2.12,0.93,0.4,,,,,,,,,,,,,,,
沈阳工业大学,理工,辽宁,1.52,1.53,0.08,,,,,,,,,,,,,,,
南华大学,综合,湖南,1.96,1.07,0.12,,,,,,,,,,,,,,,
杭州电子科技大学,理工,浙江,1.89,1.08,0.16,,,,,,,,,,,,,,,
福建医科大学,医药,福建,1.44,1.3,0.81,,,,,,,,,,,,,,,
吉林农业大学,农林,吉林,1.42,1.6,0.08,,,,,,,,,,,,,,,
山西医科大学,医药,山西,1.36,1.59,0.22,,,,,,,,,,,,,,,
济南大学,综合,山东,1.77,1.1,0.33,,,,,,,,,,,,,,,
山西农业大学,农林,山西,0.84,1.26,2.39,,,,,,,,,,,,,,,
桂林理工大学,理工,广西,2.26,0.6,0.13,,,,,,,,,,,,,,,
河南工业大学,理工,河南,2.01,0.85,0.06,,,,,,,,,,,,,,,
中南林业科技大学,林业,湖南,1.18,1.61,0.1,,,,,,,,,,,,,,,
甘肃农业大学,农林,甘肃,1.22,1.59,0.11,,,,,,,,,,,,,,,
安徽理工大学,理工,安徽,1.23,1.54,0.11,,,,,,,,,,,,,,,
新疆农业大学,农林,新疆,1.67,1.09,0.06,,,,,,,,,,,,,,,
上海海事大学,理工,上海,1.25,1.46,0.2,,,,,,,,,,,,,,,
大连医科大学,医药,辽宁,1.37,1.35,0.1,,,,,,,,,,,,,,,
西安科技大学,理工,陕西,1.08,1.65,0.06,,,,,,,,,,,,,,,
江西理工大学,理工,江西,1.07,1.59,0.1,,,,,,,,,,,,,,,
天津科技大学,理工,天津,1.44,1.2,0.18,,,,,,,,,,,,,,,
湖南科技大学,综合,湖南,1.47,1.16,0.1,,,,,,,,,,,,,,,
内蒙古师范大学,师范,内蒙古,0.67,1.99,0.07,,,,,,,,,,,,,,,
